বাংলা,চট্টগ্রাম
কোন কিছু আসছে না তার,হোন কিসু আইব্যু ন ইতার
তাই সে না খেয়ে বাহিরে গেল,তাই ইতে না হাই বাইরে গিল
বাহিরে বৃষ্টি হচ্ছে তখন,বাইরে বৃষ্টি অইলদে তহন
অল্প বাতাস হচ্ছে তখন,অল্প বাতাস অইলদে তহন
পরিবেশ অনেক সুন্দর লাগছে,পরিবেশ বহুত সুন্দর ল্যার
সে সবকিছু বাহির করল আর সেখানে গেল,ইতে বেক্কিছু বাইর গরিল আর ওডে গিল
ভিতরে ঢোকে দেখে সেখানে অনেক কিছু আছে,বিতুরে ঢুকের চ্যাঁই ওডে বহুত কিসু আছে
সব দেখে চোখ ঠাণ্ডা হয়ে যাচ্ছে,হক্কল চ্যাঁই চুখ টান্ডা অই যার
একটা পরে একটা দেখতে লাগলেন,উজ্ঞো ফরে উজ্ঞো চ্যাঁইতে লাইজ্ঞুন
একটা দেখে তার চোখ আটকে গেল,উজ্ঞো চ্যাঁই ইতার চুখ আটকে গিল
সবকিছুর মধ্যে এটি ছিল বেশি সুন্দর,বেক্কিছুর মাজে ইবে আইসসিল বেশি সুন্দর
এরকম চা বাগানের ভিতরে বসে,এরম চা বাগানর বিতুরে বৈ
কে করছে সেটি,কেডা গরের ইবে
সেটি ভাল মনে হচ্ছে আমার,ইয়ান গম মনত অইলদে অ্যাঁর
এমন সময় কাছে একটা লোক বলল,এন সমত হাছে উজ্ঞো লোক হইলো
আপনার কিছু পছন্দ হয়েছে,অনের কিসু ফসন্দো হইয়্যে
হাত দিয়ে দেখিয়ে বলল,আঁত দি দেহাই হইলো
এটি আমার পছন্দ হয়েছে,ইবে অ্যাঁর ফসন্দো হইয়্যে
এটির দাম কত পড়বে মনে হয়,ইবের দাম হতো ফরিবু মনত অয়
বেশি না অল্প টাকা,বেশি ন অল্প টিঁয়া
আজকে এটি নতুন এসেছে,আজিয়ে ইবে নয়া আইসসে
একটা কথা কে করে এসব,উজ্ঞো হথা কেডা গরে এগিন
তাহলে তার নামে করা হয়েছে এসব,তঁইলে ইতার নামে গরা হইয়্যে এগিন
আমি তাকে কোথায় পাবো,অ্যাঁই ইতারে হডে পাইয়্যুম
তাকে তো আর পাবে না,ইতারে তো আর ন ফাইবে
সে তো আজকে থেকে অনেক আগে গেছে,ইতে তো আজিয়ে তুন বহুত আগে গেইয়্যে
কি বলছি এসব,কি হইদ্দি এগিন
তাহলে কোথায় থেকে আসছে,তঁইলে হডে তুন আইব্যু
আপনি তো এটি আজকে এসেছে,অনে তো ইবে আজিয়ে আইসসে
সেটি একেবারে খুব ভাল হবে,ইবে এক্কোবারে বহুত গম অইব্যু
তোর সাথে টুম্পা মনিকে নিয়ে যাবি,তুঁর লগে টুম্পনিরে লইয়্যে যাবি
তোকে নিয়ে পাহাড় ঘুরবো,তোঁরে লইয়্যে মুরা গুইজ্জুম
এখানে বিয়ে দিয়ে মেয়ের কপাল খাবো আমি,এডে বিয়া দি মাইয়্যার হপাল হাইয়্যুম অ্যাঁই
ছেলের বাড়ি যে দূরে মা রে মা,ফোয়ার বাড়ি যে দূরে মারেম্মা
ছেলের মা বেশি কথা বলে আমার ভাল লাগে না,ফোয়ার মায়ে বেশি হথা কইয়্যরে অ্যাঁর গম ন লার
আমার টুম্পা মনি খুব সহজ সরল মেয়ে,অ্যাঁর টুম্পনি বহুত সহজ সরল মাইয়্যা
ছেলে দেখতে আসলে জন আসবে,ফোয়া চ্যাঁইতে আইলে জন আইব্যু
আমার মেয়ের জন্য পয়সা কড়িওয়ালা লাগবে,অ্যাঁর মাইয়্যার লাই ফয়সা হরিআলা লাইব্যু
তারা বিদেশ থেকে আসতে চায় না,ইতেরা বিদেশেত তুন আইত ন চায়
আগা থেকে গোড়া জুতা দিয়ে মারবি,আগা তুন গুরা জুতা দি মারিবি
খবরদার বাহির হবে না,হবরধার বাইর ন অইব্যু
কথা এটি বলার পাঁচ মিনিট আগে,হথা ইয়েন হইবের পাঁচ মিনিট আগে
ঝড়ত ভিজে ঘরে আসে,ঝড়ত ভিজি ঘরত অ্যাইয়ে
চালাক না হলে বোন বেঁচে থাকবো কেমন করে,চালাক ন অইলে বইন বাঁচি থাইক্কুম ক্যানে গরে
আমি চালাক না এই দুনিয়াতে আমার টেকা মুশকিল,অ্যাঁই চালাক ন এই দুনিয়েত অ্যাঁর টিগন মুশকিল
আমি শুনি নি কোনদিন এসব,অ্যাঁই ন ফুনি হোনদিন এগিন
আপনার কপাল তাহলে খুব ভাল,অনের হপাল তঁইলে বহুত গম
চট্টগ্রামের মা সবার সারাক্ষনের ডায়লগ,চিটাংঅর মা বেজ্ঞুনের আমিশখনর ডায়লগ
এ কখনো হতে পারে না,এ হনঅত্তে হতে ন ফারে
ভিজলে আমার অসুখ হবে না,ভিজিলে অ্যাঁর অসুখ ন অইব্যু
আগা হতে গোড়া ছেঁচি ফেলবো,আগা ওইতে গোড়া ছেঁচি ফেলাইয়্যুম
আম্মু তোকে কি বলেছিল আমি জানি,আম্মু তোঁরে কি হইয়্যিল অ্যাঁই জানি
তুই সারাদিন যে মিথ্যা কথা বলিস,তুঁই গুডাদিন যে মিছা হথা হইস
আমার ঘর থেকে বাহির হয়ে যা তুই,অ্যাঁর ঘরত তুন বাইর অই যা তুঁই
একবারো ইফতারি দেই নি তোকে,একবারো ইস্তেরি ন দ্যি তোঁরে
আমি মরার পর সে কি যে করে,অ্যাঁই মউতের ফর ইতে কি যে গরে
আমার তো একটা গ্লাস পানি ঢেলে খেতে হয় নি,অ্যাঁর তো উজ্ঞো গেলাস ফানি ঢালি হাইতে ন অয়
টাকা থাকলে কি হবে,টিঁয়া থায়লি কি অইব্যু
ছেলের মাথায় তো চুল কম,ফোয়ার মাতাত তো চুল হম
বন্ধু যে বেশি জোরে চালায়,বন্ধু যে বহুত জোরে চালাই
রাস্তায় গাড়ি চালানো দেখে বুঝা যায় না,রাস্তাত গাড়ি চলান্যি চ্যাঁই বুজা ন যায়
আমাদের ছাত্র সমাজে সবাই ছাত্রী,অ্যাঁরার ছাত্র সমাজত বেজ্ঞুনে ছাত্রী
কালকে রাতে চোর এসেছিল,হালিয়্যে রাইতে চোর আইচ্ছিল
সে বলল অন্য একদিন আসবে,ইবে হইলো অন্য একদিন আইব্যু
যারা শুদ্ধ ভাষায় কথা বলে তাদেরকে আমার নৌকাতে নেবো না,যারা শুদ্ধ ভাষাত হথা কইয়্যরে ইতারারে অ্যাঁর নাওত ন লইইয়্যুম
তোকে বললাম তোকে না পেলে আমি পাগল,তোঁরে হইলাম তোঁরে ন পাইলে অ্যাঁই পল
আমার নাতি হলে চুল যাবে,অ্যাঁর নাতি অইলে চুল যাইব্যু
ছেলে টাকার অহংকার দেখায়,ফোয়া টিঁয়ার দেমাগ দেহায়
কুকুর পালে বিড়াল পালে,কুত্তা ফালে বিলাই ফালে
তোর মেয়ে কি কুকুর পালবে,তুঁর মাইয়্যা কি কুত্তা ফালিব্যু
আমার মেয়ে কি কুকুর পালবে সংসার করবে,অ্যাঁর মাইয়্যা কি কুত্তা ফালিব্যু সংসার গরিবে
আমি তো মনে করেছি সে ছেলের চাচা,অ্যাঁই তো মনে গইজ্জি ইতে ফোয়ার চাচা
আনতে পাড়লে আনবি না পড়লে আমাকে না বল,আনোন পাইল্লে আনিবি ন পাইল্লে অ্যাঁরে ন হ
ছেলের মা উকিল নাকি,ফোয়ার মা উকিল নি
আমার মেয়েকে কেস দিয়ে ফেলবে,অ্যাঁর মাইয়্যারে কেস দি ফেলাইব্যু
ছেলে তো দেখলাম মায়ের কথায় ওঠে বসে,ফোয়া তো দেইক্কি মার হথাত উডে বৈ
খাবার চাবিয়ে মার দিকে দেখে,হানা চাবাইয়্যেনে মার মিক্কে চ্যাঁই
তুঁই গিলবি না গিলবি না,তুঁই গিলিব্যু না ন গিলিব্যু
কি বলবো আপু আপনি তো আমার আপন মানুষ,কি হইয়্যুম আফা অনে তো অ্যাঁর আফন মানুষ
সব সময় আমাদের ভাল চান,হক্কল সমত অ্যাঁরার গম চন
আসুবিধা হল ছেলের বাড়ি,অসুবিদা অইল ফোয়ার বাড়ি
আজকাল বাড়ির মধ্যে গরু পালে,আইজকাল বাড়ির মাজে গরু ফালে
জিনিসটি খারাপ লাগে,জিনিসইবে হারাপ লার
বিউটির মা জানে না এমন কোন কথা নেই,বিউটির মা ন জানে এন হোন হথা নাই
এই কাজ আজকে করেছ,এই কাম আজিয়ে গইজ্জো
আর কোনদিন দেখি না,আর হোনদিন ন চ্যাঁই
আমি তুই ছেলের মা হাসাহাসি করি,অ্যাঁই তুঁই ফোয়ার মা হাসাহাসি গরি
অন্যদিকে ছেলে দেখি,অন্যমিক্কে ফোয়া চ্যাঁই
আমি তো জানি তুই বলবি,অ্যাঁই তো জানি তুঁই হবি
তুই কি মনে করেছিস,তুঁই কি মনে গইজ্জু
আমি আরো উকিল লাগিয়ে,অ্যাঁই আরো উকিল লাগাই
অহংকারে তোর পা মাটিতে পড়েছে না,দেমাগে তুঁর ঠ্যাং মেডিত ন ফইজ্জে
আমাকে যে বাঁকা বাঁকা কথা বলে,অ্যাঁরে যে বেহা বেহা হথা কইয়্যরে
মা মেয়ের কানের পর্দা ফেটে যাবে,মা মাইয়্যার হানর পদ্দা ফাডি যাইব্যু
আমি পরে কথা বলবো,অ্যাঁই ফরে হথা হইয়্যুম
আমি কি জানি তোমার জিনিস কোথায়,অ্যাঁই কি জানি তোঁয়ার জিনিস হডে
আমার জিনিসের পা হয়েছে,অ্যাঁর জিনিসের ঠ্যাং হইয়্যে
আমার টাকা কম কেন,অ্যাঁর টিঁয়া হম কিল্লাই
কি বল এসব তোমরা,কি হ এগিন তোঁয়ারা
তোমার খবর নিবো আমি,তোঁয়ার হবর লইইয়্যুম অ্যাঁই
তোমরা তো আমার খবর রাখো না,তোঁয়ারা তো অ্যাঁর হবর ন রাহ
ও লাটসাহেবর মেয়ে তুই,ও লাটসাহেবের মাইয়্যা তুঁই
কত পাখি গাছের আগায়,হতো ফাখি গাছর আগাত
আমাকে গান শুনালে টাকা দেবে,অ্যাঁরে গান হুনাইল টিঁয়া দিব্যু
পাই না খুঁজে মনের মানুষ,ন ফাই তোঁয়াইন মনর মানুষ
আমি সুন্দরি আমিনা আমার নাম জানলে ভাল,অ্যাঁই সুন্দরি আমিনা অ্যাঁর নাম জানিলে গম
কচি ডাবের পানি খেয়ে,হচি ডাবোর পানি হাই
মালকা বানুর দেশে রে বিয়ের বাদ্য বাজেরে,মালহা বানুর দেশে রে বিয়ার বাইদ্য বাজেরে
নাতি বরই খাবে হাতে নিয়ে লবণ,নাতি বরই হাইব্যু আঁতত লইয়্যে নুন
ভেঙ্গে পড়েছে নাতি বরই গাছ থেকে,ভাঙি ফইজ্জে নাতি বরই গাছ তুন
কেউ বলে যে আছে নাতি কেউ বলে নেই,কেউ কইয়্যরে যে আছে নাতি কেউ কইয়্যরে নাই
চোখ পাকিয়ে রয়েছে লাল বরই এর মত,চুখ পাকায় রইয়্যে লাল বরই এর নান
ছোট নাতি গাছের নিচে যায়,ছোড নাতি গাছর তলাত যায়
নানি বলে গাছে বরই পারিস না,নানি কইয়্যরে গাছেত বরই ন ফাড়োস
পাড়ার ছেলে সবাই আসে বরই খাবার জন্য,পাড়ার ফোয়া বেজ্ঞুনে অ্যাইয়ে বরই হাওনর লাই
গাছ থেকে পড়ে নাতি হাত ভেঙ্গে,গাছ তুন ফড়ি নাতি আঁত ভাঙি
নানির কথা না মেনে বিপদ ডাকে,নানির হথা ন মানি বিপদ ডাহে
এতো করে বললাম নাতি শুনলে না কথা,এদ্দুর গরে হইলাম নাতি ন হুনিলে হথা
গাছ থেকে পড়ে ফাটালি তোর মাথা,গাছ তুন ফড়ি ফাডাইল্যি তুঁর মাতা
আমার বাড়ি আর তোমার ফটিকছড়ি,অ্যাঁর বাড়ি আর তোঁয়ার ফটিকছড়ি
তোমার কাছে আমার মনের কথা পাঠাতে কেমন করে,তোঁয়ার হাছে অ্যাঁর মনর হথা ফাঠাতে ক্যান গরে
তোমার ভাই নিল মোবাইল,তোঁয়ার বদ্দা লইল মোবাইল
প্রথম দেখায় মন দিয়ে ফেলি,ফতম দেহায় মন দি ফেল্যাই
অনেক কষ্টে মন পেয়েছে,বহুত কষ্টে মন পাইয়্যে
তোমার খালা আমি দেখি নি,তোঁয়ার খালা অ্যাঁই ন চ্যাঁই
লুকিয়ে লুকিয়ে দেখা করেছে তারা,লুয়োই লুয়োই দেহা গইজ্জো গইজ্জে ইতারা
জলদি দেখা কর,জলদি দেহা গর
দেখা করে খবর শুনে,দেহা গরে হবর শুনি
আমার বাড়ি নিয়ে যাবো,অ্যাঁর বাড়ি লইয়্যে যাইয়্যুম
যাবো না আমি তোমার সাথে,ন যাইয়্যুম অ্যাঁই তোঁয়ার লগে
আমি তোমাকে নতুন কথা বলি,অ্যাঁই তোঁয়ারে নয়া হথা হই
আজকে কালকে করবে আমার ঘর,আজিয়ে হালিয়্যে গরিবে অ্যাঁর ঘর
জীবনে মরণে আমি তোমার হলাম,জীবনত মরণত অ্যাঁই তোঁয়ার অইলাম
পানি ছাড়া মাছ বাঁচে না শিকড় ছাড়া গাছ,পানি ছাড়া মাছ ন বাঁচি শিকড় ছাড়া গাছ
তোমার আমার মিলন সামনে ফাল্গুন মাস,তোঁয়ার অ্যাঁর মিলন সামনে ফাল্গুন মাস
নতুন বউ দেখাবি জন্য,নয়া বউ দেহাবি লাই
লাল টুকটুকে শাড়ি পড়েছ,লাল টুইটুইক্কা শাড়ি পইজ্জু
কত জন কত ঢঙের কথা বলে,হতো জন হতো ঢঙর হথা কইয়্যরে
কেউ বলেছে কত সুন্দর মুখ,কেউ হদ্দে হতো সুন্দর মুক
একটা হাত লম্বা ঘোমটা দিয়ে,উজ্ঞো আঁত লম্বা ঘোমটা দি
একজন একজন আসছি,একজন একজন আইর
কেউ বলছে কত সুন্দর বাঁশির মত নাক,কেউ হদ্দে হতো সুন্দর বাঁশির নান নাক
কত সুন্দর কোঁকড়া কোঁকড়া চুল,হতো সুন্দর খোডা খোডা চুল
এমন সুন্দর বউ কয়জনের,এন সুন্দর বউ হজনের
এমন সুন্দর ফুটফুটে বউ আমাদের নেই,এন সুন্দর ফুইটফুইট্টা বউ অ্যাঁরার নাই
আমার আম্মু আমাকে নিয়ে সন্তুষ্ট,অ্যাঁর আম্মু অ্যাঁরে লইয়্যে সন্তুষ্ট
বাটিক প্রিন্টের কামিজ ত্যানা ত্যানা,বাটিক ফ্রিন্টর খামিস ত্যানা ত্যানা
আমাকে একবারে ফতুর করে দিয়েছে,অ্যাঁরে এব্বেরে ফতুর গরে দিইয়্যি
আমার ছেলে কোথায় দেখি না,অ্যাঁর ফোয়া হডে ন চ্যাঁই
আমার নতুন রুগি এসেছে,অ্যাঁর নয়া রুগি আইসসে
আমি বাহিরে যাবো আজকে,অ্যাঁই বাইরে যাইয়্যুম আজিয়ে
আমাদের দেশের মধ্যে পাওয়া যায়,অ্যাঁরার দেশের মাজে পাওন যায়
আমাদের দেশের জিনিস সেরা হবে,অ্যাঁরার দেশর জিনিস সেরা অইব্যু
আম্মু পেলে মেরে এমন লাল করে ফেলবে,আম্মু পাইলে মারি এন লাল গরে ফেলাইব্যু
মারার সময় দেখে না,মারাইবের সমত ন চ্যাঁই
পরে রাতে এসে,ফরে রাইতে আই
একটা পাল্লায় ওজন বেশি,উজ্ঞো পাল্লাই ওজন বহুত
আপু আপনার নাম বলেন,আফা অনের নাম কন
আপু জন্ম সনদের নাম বলেন,আফা জন্ম সনদর নাম কন
আপনার পেট খারাপ হয়েছে আজকে,অনের পেট হারাপ হইয়্যে আজিয়ে
তুই রাতে কি খেয়েছে,তুঁই রাইতে কি খাইয়্যে
আমি তো শুধু শাক খাই,অ্যাঁই তো উধে শাক হাঁই
তুই খুব খারাপ মানুষ আমি জানি,তুঁই বহুত হারাপ মানুষ অ্যাঁই জানি
তোর নানা তো মাউলানা,তুঁর নানা ত মুলিছাফ
এমন ড্রাইভার আমি আর দেখি নি,এন ড্রাইভার অ্যাঁই আর ন চ্যাঁই
পুরো গাড়ি খালি পুরো গাড়ি খালি করে,ফুরো গাড়ি হাইল্ল্যা ফুরো গাড়ি হাইল্ল্যা গরে
মানুষ শেষ তো সারাদিন হবে,মানুষ শেষ তো গুডাদিন অইব্যু
তোমার বাড়িতে ছাদে উঠবে,তোঁয়ার বাড়িত সাদোত উডিব্যু
আপনি একটা ঘন্টা পরে যেতে পারবেন না,অনে উজ্ঞো ঘন্টা ফরে যাইতাম ন ফারিবেন
আমি একটা মিনিটের ভিতরে আসবো,অ্যাঁই এক্কান মিনিটর বিতুরে আইসুম
তোকে দেবে ভাড়া,তোঁরে দিব্যু ভাড়া
বাজার করার জন্য বাজারে যেতে পড়বে না,বাজার গরিবের লাই বাজারত যাইতাম ন ফরিবু
তোমাকে তোঁ আসল কথা বলি নি,তোঁয়ারে তোঁ আসল হথা ন হই
আমি পাগল আমার ঘর বাড়ি নেই,অ্যাঁই পল অ্যাঁর ঘর বাড়ি নাই
তোর কষ্ট হবে আমি সহ্য করতে,তুঁর কষ্ট অইব্যু অ্যাঁই সইজ্জো গরিতে
আমরা কি সত্য সত্য ব্যাংকে যাবো,অ্যাঁরা কি আচা আচা ব্যাংকওত যাইয়্যুম
কালকে সকালে আমি চলে যাবো,হালিয়্যে বেইন্যে অ্যাঁই চলি যাইয়্যুম
টাকা পয়সা পাঠাতে আসে না,টিঁয়া ফয়সা ফাঠাতে ন অ্যাইয়ে
আমার দেরি হলে আপনি খেয়ে নেবেন,অ্যাঁর দেরি অইলে অনে হাই লইয়্যুন
এতো খাই তারপর বলে আর কি খাবে আজকে,এদ্দুর হাঁই তারপর কইয়্যরে আর কি হাইব্যু আজিয়ে
তোমার কথা আমার মনে থাকবে না,তোঁয়ার হথা অ্যাঁর মনত ন থাইব
তোমরা কালকে যেয়ে দেখাবি,তোঁয়ারা হালিয়্যে য্যাই দেহাবি
আপনার ছেলে ফোন করলে আমি বলবো,অনের ফোয়া ফোন গরিলে অ্যাঁই হইয়্যুম
তোরা বস আমি চা করি,তুঁরা বঅ অ্যাঁই চা গরি
আমার সাথে বাটপারি করেছে,অ্যাঁর লগে বাটপারি গইজ্জে
ব্যবসা করবো কিন্তু ব্যবসা করতে অনেক টাকা লাগে,ব্যবসা গইজ্ঞুম কিন্তু ব্যবসা গরিতে বহুত টিঁয়া লার
এতো টাকা কোথায় পাবে,এদ্দুর টিঁয়া হডে ফাইবে
টাকার হিসাব কিভাবে দিব আমি,টিঁয়ার হিসাব কেনে দিয়্যুম অ্যাঁই
আমি আছি তোমার চিন্তা কিসের,অ্যাঁই আছি তোঁয়ার চিন্তা কিয়ের
তুই তো আমাকে ভাল কথা বলে,তুঁই তো অ্যাঁরে গম হথা কইয়্যরে
আমার বাবার টাকা কুকুর খায়,অ্যাঁর বাপের টিঁয়া কুত্তা হায়
তোমার টাকা দিয়ে আমি কি করবো,তোঁয়ার টিঁয়া দি অ্যাঁই কি গইজ্জুম
এখন তো কেউ আসার কথা না,এহন তো কেউ আইসসিল হথা ন
আজকে কার কাছে তুই,আজিয়্যে হার হাছে তুঁই
আমার চুল দাড়ি এমন করে পাকে নি,অ্যাঁর চুল দাড়ি এন গরে ন ফাকে
আপনি শান্ত হয়ে বলেন,অনে শান্ত হন অই কন
আমার ছেলে আসুক তারপর তোর সাথে বুঝবো,অ্যাঁর ফোয়া আইয়্যুক তারপর তুঁর লগে বুইজ্জুম
তোর তো চুলা ঠেলায় হবে,তুঁর তো চুলা ঠেলাত অইব্যু
ভেজালের কথায় মন বেজার,ভেজাইল্যা হথাত মন বেজার
চাকরি হবে না আমরা,চঅরি ন অইব্যু অ্যাঁর
তোর বাড়ি সবাই কেমন আছে,তুঁর বাড়ি বেজ্ঞুন ক্যান আছে
আমার মা বাবা কেমন আছে,অ্যাঁর মা বাপ ক্যান আছে
তিন মাথা যার কথা শুনি তার,তিন মাতা যার হথা ফুনি ইতার
জুতা মাথায় চড়ানো,জুতা মাতাত চড়ান
জামাইয়ের দেখা নেই শুক্রবার বিয়ে,জামাইয়ের দেহা নাই শুক্কুরবার বিয়া
ঝড়ে বন্যায় বক মরে,ঝড়ত বানত বোগা মরি
আমি ফালতু কথার উত্তর দেই না,অ্যাঁই ফালতু হথার উত্তর ন দ্যি
ভালি হয়েছে ঘরের মানুষ আমরা,গম হইয়্যে ঘরর মানুষ অ্যাঁরা
তুঁই এখন শুদ্ধ ছাড়া চলতে পারিস না,তুঁই এহন শুদ্ধ ছাড়া চল্যিত ন ফাড়োস
ও বোন তুই সম্মান দিলে নিজেও পাবি,ও বইন তুঁই সম্মান দিলে নিজেও ফাবি
৩ দিনের জন্য এসেছিস সবাই,৩ দিনর লাই আইচ্চুস বেজ্ঞুন
তার বাবা টিকটকে নাচে,ইতার বাপ টিকটকওত নাচে
পাপ বাবাকেও ছাড়ে না,পাপ বাপেরেও ন ছাড়ে
তার বাবা বিয়ে বাড়িতে নাচে,ইতার বাপ বিয়া বাড়িত নাচে
কথা ভাল বলুন ভাই,হথা গম হন বদ্দা
ওর বাবা ভিডিও বানাতো,ইতার বাপ ভিডিও বানাইত্যু
দুনিয়ার কাজের চাপ আমার আজকে,দুনিয়ার হামের চাপ অ্যাঁর আজিয়ে
মাকে বললাম চা দিয়ে যেতে,মারে হইলাম চ্যাঁ দি যাইতাম
এখন ও আসে না,এহন ও ন অ্যাইয়ে
এই মেয়ে আমাকে পাগল করতে আসে,এই মাইয়্যা অ্যাঁরে পল গরিত আইয়্যে
তোর কি আসুবিধা আমি বুঝলাম না,তুঁর কি অসুবিদা অ্যাঁই ন বুজিলাম
কিরে তুই কি তামাশা শুরু কর,কিরে তুঁই কি তামাশা শুরু গর
আমি তোর কাজ করবো না,অ্যাঁই তুঁর কাম ন গইজ্জুম
আমি ঘরের কাজ করবো,অ্যাঁই ঘরর কাম গইজ্জুম
আমাকে কেন কথা বলতে হবে,অ্যাঁরে কিল্লাই হথা হইতে অইব্যু
তুই আমার উপর মানসিক চাপ সৃষ্টি করতে এসেছিস,তুঁই অ্যাঁর উর মানসিক চাপ সৃষ্টি গরিত আইচ্চুস
একটা কাপ চা আমি ঠিক করে পাই না,উজ্ঞো কাপ চা অ্যাঁই ঠিক গরে ন ফাই
ব্যবসায়ী সবার মাথায় নানা চিন্তা থাকে,ব্যবসায়ী বেজ্ঞুনের মাতাত নানা চিন্তা থাহে
তোর আযথা কথা আমার ভাল লাগে না,তুঁর বাইক্কে হথা অ্যাঁর গম ন লার
তোর কোথায় আমি দেখি,তুঁর চুয়াদি হডে অ্যাঁই চ্যাঁই
তাকে জিজ্ঞাসা করেন আমি জানি না,ইতারে পুঁছর গরন অ্যাঁই ন জানি
আমার কতক্ষণ পরে পরে চা খেতে হয়,অ্যাঁর হতোক্ষন ফরে ফরে চা হাইতে অয়
তোকে আমাকে তুই চিনাস না,তোঁরে অ্যাঁরে তুঁই ন চিনাস
আমি সবকিছু বানাবো বানাতে চাই,অ্যাঁই বেক্কিছু বানাইতু চাই
আমার এতো কাজ ভাল লাগে না,অ্যাঁর এদ্দুর কাম গম ন লার
কাজ শেষ করে নাও তোমরা,কাম শেষ গরে ল তোঁয়ারা
যেমন মনে হয় তেমন করে বল,যেন মনত অয় ইল্লে গরে হ
এই বুড়ি তুই আমাদের আপু কেন ডাকো,এই বুড়ি তুঁই অ্যাঁরারে আফা কিল্লাই ডাহো
তোমার জন্য আমাকে প্রজাতি ডাকে,তোঁয়ার লাই অ্যাঁরে ফজাতি ডাহে
এটি কোন গোলামের বাচ্চা গোলাম বলে দেখি,ইবে হোন গোলামোর ছা গোলাম কইয়্যরে চ্যাঁই
তার নাম পড় তো দেখি,ইতের নাম ফড় তো চ্যাঁই
আমাদের প্রজাতি ডাকো না,অ্যাঁরার ফজাতি ন ডাহো
এটি কোন বেয়াদব নাম দেখ তো আমি,ইবে হোন বেয়াদব নাম চ্যাঁই তো অ্যাঁই
তুই অবুজ বালক না শয়তান বালক তুই,তুঁই অবুজ বালক না শতান বালক তুঁই
খুঁজে খুঁজে জায়গার দালাল কবুতর ব্যাপারি,তোঁয়াইন তোঁয়াইন জাগার দালাল হবুতর বেয়্যারি
আমার জন্য পানি নিয়ে আসো না,অ্যাঁর লাই পানি লইয়্যে ন আইয়্যু
এখানেও চলে এসেছে,ইয়েনও চলি আইসসে
আমারা একটা কবুতর দেখি,অ্যাঁরা উজ্ঞো হবুতর চ্যাঁই
আমি তোমাকে দেখতে পারি না,অ্যাঁই তোঁয়ারে চ্যাঁইতে ন পারি
আমরা জাম খেতে পারি না,অ্যাঁরা জাংগুলা হাইতে ন পারি
ঔষধের কাগজ দাও আমাকে,ওষধের কাগজ দ অ্যাঁরে
ডাক্তারের ঔষধের কাগজ কোথায় আমার,ডাক্তরর ওষধের কাগজ হডে অ্যাঁর
আওয়াজ শুনলে আরো দেবে,আবাজ হুনিলে আরো দিব্যু
আমাদের শুটকির গন্ধ ভাল লাগে,অ্যাঁরার উঁনির গন্ধ গম লার
তোকে গাছের আগায় তুলে দেবে,তোঁরে গাছর আগাত তুলি দিব্যু
ছেলে হল না ভূত হল,ফোয়া অইল ন ভূত অইল
জায়গা এটি তো কর্ণফুলী চা বাগানের,জাগা ইবে তও কর্ণফুলী চা বাগানর
কথার সাথে ঠোঁট মিল নেই,হথার লগে ঠোঁট মিলে নাই
যার যার ভাষা তার জন্য ভাল,যার যার ভাষা ইতার লাই গম
আমরা তাকে গালি দিলে বুঝে না,অ্যাঁরা ইতারে গাইল দিলে ন বুজে
সেটি আবার শুদ্ধ ভাষায় বলতে পারে,ইয়ান আবার শুদ্ধ ভাষাত হইতে ফারে
গরম পানি দেবে,গরম পানি দিব্যু
চাঁদ দেখে খুশি না আমি,চাঁন চ্যাঁই খুশি ন অ্যাঁই
বেলা বিস্কুট ঠেলা গাড়ি একটি ঠেলায় পাহাড়তলি,বেলা বিস্কুট ঠেলা গাড়ি উজ্ঞো ঠেলাত পাহাড়তলি
জানি না আমার ভবিষ্যৎ বউ কার সাথে বেড়ায়,ন জানি অ্যাঁর ভবিষ্যৎ বউ হার লগে বেড়ায়
তোর ঘরে সবার থেকে ছোট কে,তুঁর ঘরত বেজ্ঞুনের তুন ছোড কেডা
সায়ানা ছেলে হল তারা,সিয়ানা ফোয়া অইল ইতারা
আমরা শীতে পুকুরে গোসল করি,অ্যাঁরা শীতত পইরত গোসল গরি
ছেড়া কাথা থেকে স্বপ্ন দেখিস না,ফাডা কেথা তুন খোয়াব ন চ্যাঁইস
আম খাবো কিন্তু গাছে পানি দিতে পারবো না,আম হাইয়্যুম কিন্তু গাছেত পানি দন ন পাইজ্জুম
আমার মোবাইল নিয়ে ঘাটাঘাটি করে,অ্যাঁর মোবাইল লইয়্যে ঘাডাঘাডি গরে
আজকে ভাত খাবো না আমি,আজিয়ে ভাত ন হাইয়্যুম অ্যাঁই
তুই খেলে খাবি না খেলে না খাবি,তুঁই হাইলে হাবি ন হাইলে ন হাবি
সবাইকে অনুরোধ করি আমি,অক্কলরে অনুরোধ গরি অ্যাঁই
অনেক মানুষ খাবার পায় না,বহুত মানুষ হানা ন পায়
আজকে তো শুক্রবার,আজিয়ে তো শুক্কুরবার
বেলা বিস্কুট গরম চা মজা করে খাই,বেলা বিস্কুট গরম চা মজা গরে হাঁই
কম্বলের ভিতরে মোবাইল টিপার সময় নেই,হম্বলের বিতুরে মোবাইল টিববার সমত নাই
পাট শাক দিয়ে ভাত খাই,নাড়ি শাক দি ভাত হাঁই
খাওয়ার তরকারি নষ্ট,হাওনর ছালন নষ্ট
