Sentence #,Standard_Bangla,Chittagong,Sylhet,Noakhali,Mymensingh,Barishal
1522,খাওয়া দাওয়ার কথা বলে লাভ নেই দুঃখ পাবে,"খন-দন অর হতা হই লাভ নাই ,হষ্ট ফাবে","খানির দানির মাত মাতিয়া লাভ নাই, কষ্ট ফাইবায়","খাওন দাওনের কতা কই লাভ নাই, দুঃখ হাইবা","খাওয়া-দাওয়ার কথা কয়া লাভ নাই, দুঃখ পাইবা",খাওন দাওনের কথা কইয়া লাভ নাই দুক্ষ পাবা
1523,তবে বেঁচে আছি ও খুব ভালো আছি,বাচি আসি ভালা ও আসি,তবে বাচিয়া আছি আর খুব বালাও আছি,তবে বাঁচি আছি আর খুব ভালা আছি,তবে বাইচ্চা আসি ও খুব ভালা আসি,তয় বাইচ্চা আছি আর ম্যালা ভালো আছি
1524,তোমরা ভালো আছ জেনে খুশি হলাম,তোওয়ারা ভালো আছ জানিয়েরে কুশি অইলাম,তোমরা বালা আছো জানিয়া খুশি ওইলাম,তোমরা ভালো আছ জানি খুশি অইলাম,তোমরা ভালা আস জাইন্না খুশি হইলাম,তোমরা ভালো আছো জাইন্না খুশি হইলাম
1525,আমার জন্য বেশি চিন্তা কোরো না,আর লাই চিন্তা নো গইজ্জ,আমার লাগি বেশি ভাবিও না,আর লাই বেশি চিন্তা কইরো না,আমার লাইজ্ঞা বেশি চিন্তা কইরো না,মোর লইজ্ঞা বেশি চিন্তা কইররো না
1526,এখন ঘরে ঘরে টেলিভিশন দেখা যায়,এহন গরত গরত টেলিভিশন দেহা যার,ওখন ঘর-ও ঘর-ও টিভি দেখা যায়,অন ঘরে ঘরে টেলিভিশন দেন যায়,এহন ঘরে ঘরে টেলিভিশন দেহন যায়,এহন বারতে বারতে টিভি দ্যাহা যায়
1527,টেলিভিশনে কথা শোনা যায় ছবিও দেখা যায়,টেলিভিশনর হতা ফুনা যায় আর ছবিও দেহা যায়,"টিভিত মাত হুনা যায়, ছবিও দেখা যায়","টেলিভিশনে কতা হুনা যায়, ছবিও দেন যায়","টেলিভিশনে কথা হুনা যায়, ছবিও দেহা যায়",টিভিতে কথা হুনা যায় ছবিও দ্যাহা যায়
1528,রেডিওতে কেবল কথা শোনা যায়,রেদিওত হাইল্লে হতা ফুনা যায়,রেডিওত খালি মাত হুনা যায়,রেডিওত এলা কতা হুনা যায়,রেডিওতে কেবল কথা হুনা যায়,রেডিওতে খালি কথা হুনা যায়
1529,হাজার বছর আগে সব পুরুষই পরত ধুতি পরত,আজার বছর আগদ্দি বেয়াগ ফুরুষই ধুতি ফইত্তো,হাজার বছর আগ ওর হকল বেটাইনতেউ ধুতি পড়তো,হাজার বছর আগে বেক বেডারাই ধুতি হইরতো,হাজার বছর আগে বেগ পুরুষই পরত ধুতি পরত,হাজার বছর আগে হগল ব্যাডাই ধুতি পরতে
1530,তখনো মেয়েরা আঁচল টেনে ঘোমটা দিত,তহনো মাইয়াফোয়ারা আচল টানিয়েরে মুখ ডাহিতো,তখনো ফুরিন আঁচল টানিয়া ঘোমটা দিতো,হেক্তেও মাইয়ারা আঁচল টানি ঘোমটা দি্তো,তহনো মাইয়ারা আঁচল টাইন্না ঘোমটা দিত,তহন মাইয়ারা আঁচল টাইন্না ঘোমটা দেতে
1531,ভাত বাঙালির বহুকালের প্রিয় খাদ্য,ভাত বাঙালি বহুকালোর ফ্রিয় হানা,ভাত বাঙালির বউতকাল ধরি প্রিয় খানি,ভাত বাঙালির বহুকালের প্রিয় খাদ্য,ভাত বাঙালির মেলাকালের প্রিয় খাদ্য,ভাত বাঙ্গালির বহুকালের প্রিয় খাওন
1532,মেয়েরা বাগান করতে ভালোবাসত,মাইয়া ফোয়ারা বাগান গইত্তে ভালোবাসিত,ফুরিন্তে বাগান করতে বালা ফাইতো,মেয়েরা বাগান করতে ভালোবাসত,মাইয়ারা বাগান করতে ভালোবাসত,মাইয়ারা বাগান করতে ভালবাসতে
1533,মেয়েরা সাঁতার কাটতে ভালোবাসত,মাইয়াফোয়ারা সাতার হাডিবেল্লাই ভালোবাসিত,ফুরিন্তে সাঁতার কাটতে বালা ফাইতো,মেয়েরা সাঁতার কাটতে ভালোবাসত,মাইয়ারা সাঁতার কাটতে ভালোবাসত,মাইয়ারা হাতোর কাটতে ভালবাসতে
1534,ধনী লোকেরা ঘোড়া আর হাতির খেলা দেখত,ধনী মানুষ তারা ঘোড়া আর হাতির খেলা দেহিত,ফয়সাআলা মাইনষে ঘোড়া আর হাত্তির খেলার দেখতো,বড়লোকেরা ঘোড়া আর হাতির খেলা দেইখতো,ধনী লোকেরা ঘোড়া আর হাতির খেলা দেখত,টাহা ওয়ালা মানেরা ঘোড়া আর হাতির খ্যালা দ্যাখতে
1535,যাতায়াতের প্রধান উপায় ছিল নৌকা,আসাযাইবার মেইন উফায় আসিল নৌকা,যাওয়া আওয়ার আসল পথ আছিল নৌকা,যাতায়াতের হধান উপায় আছিল নৌকা,যাতায়াতের প্রধান উপায় আসিল নৌকা,যাতায়াতের পোরধান উপায় আল্লেহ নৌকা
1536,বড়ো বোনের ঘরে তার জন্যে ছোটো খাট দেওয়া হলো,ডড় ভোইনর ঘরত ছোড এক্কান হাট দিয়ি,বড় বইন ওর ঘর-ও তার লাগি ছোট খাট দেওয়া ওইলো,বড়ো বোইনের ঘরে হের লাই ছোডো খাট দেওয়া অইলো,বড় বইনের ঘরে হের লাইজ্ঞা ছোটো খাট দেওয়া হইলো,বড় বুইনের ঘরে হ্যার লইজ্ঞা ছোডো খাট দেওয়া হইছে
1537,তার কাছে সব দেশের টাকা আছে,তার হাসদ্দি বেয়াগ দেসত টেয়া আসে,তার ধারো হকল দেশ ওর টেখাউ আছে,হের কাছে বেক দেশের টেয়া আছে,তার কাসে বেগ দেশের টেহা আসে,হ্যার ধারে হগল দেশের টাহা আছে
1538,সে তোকে কিছু উপহার দিলো না,সে তোরে কিছু ঊফহার দিয়ে না?,হে তোরে কুন্তা উপহার দিলো না নি?,হে তোরে কিছু উপহার দিলো না?,হেয় তরে কিসু উপহার দিল না?,হ্যায় তোরে কিছু উপহার দেলে না?
1539,আম্মা নানাকে একটা চিঠি লিখছেন,আম্মা নানার হাসে এক্কান চিঠি লিক্কে,আম্মায় নানারে একটা চিঠি লেখছোইন,আম্মা নানারে এককান চিডি লিখছেন,আম্মা নানারে একটা চিঠি লিখসেন,মায় নানারে এউক্কা চিঠি ল্যাখছে
1540,আমাদের নামের প্রয়োজন হয় না,আরার নামর ফ্রয়জন নো ফরে,আমরার নাম ওর দরকার লাগে না,আর নামের হয়োজন অয় না,আমরার নামের প্রয়োজন হয় না,মোগো নামের দরকার হয়না
1541,আমরা এমনিতেই পরিচয় রাখতে পারি,আরা এনেই ফরিচয় রাখিত্তারি,আমরা এমনেউ পরিচয় রাখতাম ফারি,আমরা এন্নেই হরিচয় রাইখতাম হারি,আমরা এমনিতেই পরিচয় রাখতাম পারি,মোরা এমনেই পরিচয় রাখতে পারি
1542,তোমাকে একটা উপহার দিতে চাই,তোওয়ারে এক্কান উফহার দিতাম চাই,তুমিতাইন রে একটা উপহার দিতাম চাই,তোয়ারে এককান উপহার দিতাম চাই,তোমারে একটা উপহার দিতাম চাই,তোমারে এউক্কা উপহার দেতে চাই
1543,সেটি টেবিলের উপরে রাখা ছিল,ইয়ান টেবিলর উওরদ্দি রাহা আসিল,ওটা টেবিল ওর উফ্রে রাখা আছিল,হেটা টেবিলের উপরে রান আছিলো,হেইডা টেবিলের উপরে রাখা আসিল,হেইডা টেবিলের উপরে রাহা আল্লেহ
1544,আমার প্রিয় একটা বই হারিয়ে গেছে,আর ফ্রিও এক্কান বই আসিল,আমার প্রিয় একগু বই হারাই গেছে,আর হিরিয় ওকগা বই আজি গেছে,আমার প্রিয় একটা বই হারায়া গেসে,মোর প্রিয় এউক্কা বই হারান গ্যাছে
1545,ফোন করে জানাল,ফোন গরি জানাল,ফোন করিয়া জানাইলো,হোন করি জানাইছে,ফোন কইরা জানাইল,ফোন কইররা জানাইছে
1546,তার প্রিয় একটা বই হারিয়ে গেছে,তার ফ্রিও এক্কান বই আরাই গিয়ি,তার প্রিয় একগু বই হারাই গেছে,হেতার হিরিয় ওকগা বই আজি গেছে,হের প্রিয় একটা বই হারায়া গেসে,হ্যার প্রিয় এউক্কা বই হারান গ্যাছে
1547,কে নিয়েছে,হোনে লইয়ে?,কেটায় নিছে?,কুনগা নিয়ছে ?,কেডা নিসে ?,কেডা নেছে?
1548,সে ব্যাপারে নিশ্চিত নই,সে এই ব্যফারত নিশ্চিত নো,ওউ ব্যাপারও শিওর নায়,হেডার ব্যাপারে নিশ্চিত ন,ওই ব্যাপারে নিশ্চিত না,হেই ব্যাপারে শিউর না
1549,সে হয়তো পড়ার জন্যই নিয়েছে,সে হয়ত ফোড়িবেল্লাই লইয়ে,হে লাগের পড়ার লাগি ওউ নিছে,হে হয়তো হড়ার লাইয়ে নিছে,হেয় হয়তো পড়ার লাইজ্ঞাই নিসে,হ্যায় হয়তো পড়ার লইজ্ঞাই নেছে
1550,কোনো ব্যাপারে নিশ্চিত না হয়ে কাউকে দোষ দেওয়া ঠিক নয়,হোনো ব্যফারত নিশ্চিত নো অইয়েরে হনিক্কেরে দোষ দন ঠিক নো,কুন্তাত শিওর না ওইয়া কেউরে দোষ দেওয়া ঠিক নায়,কোনো ব্যাপারে নিশ্চিত না অই কাউরে দোষ দেওন ঠিক ন,কোন ব্যাপারে নিশ্চিত না হয়া কাউরে দোষ দেওয়ন ঠিক না,কোনো ব্যাপারে শিউর না হইয়া কেউরে দোষ দেওয়া ঠিক না
1551,যে নিয়েছে সে হয়তো পড়ার জন্যই নিয়েছে,যে লইয়ে সে হয়তো ফইবেল্লাই লইয়ে,"যে নিছে, হে তো পড়ার লাগিও নিতো ফারে","যে নিছে, হে হয়তো হড়ার লাইয়ে নিছে","যে নিসে, হেয় হয়তো পড়ার লাইজ্ঞাই নিসে",যে নেছে হ্যায় হয়তো পড়ার লইজ্ঞাই নেছে
1552,বইটা পাওয়া যায় কি না,বই ইয়েন ফোন যাইবো না?,বই ওগু ফাওয়া যায় কি না,বইকান হাওন যায় কি না,বইটা পাওয়ন যায় কি না,বইডা পাওন যায় কিনা
1553,বইটা পাওয়া গেছে,বই ইহেন ফোন গিয়ে,বই ওগু ফাওয়া গেছে,বইকান হাওয়া গেছে,বইটা পাওয়ন গেসে,বইডা পাওন গ্যাছে
1554,বাবা বইটা বুকশেলফে তুলে রেখেছিলেন,বাবা বই ইবা বুক শেল্ফত তুলি রাইক্কিলো,বাবায় বই ওগু বুকশেলফও তুলিয়া রাখছিলা,আব্বা বইকান বুকশেলফে তুলি রাখছিলেন,বাবা বইডা বুকশেলফে তুইল্লা রাখসিলেন,আব্বা বইডা বুকশেলফে উডাইয়া রাখছেলে
1555,তিনি বুঝতেও পারেননি,তিনি বুঝিত নো ফারে,তাইন বুঝতে ফারছিলা না,হেতনে বুইঝতেও হারেনো,হেয় বুঝতেও পারে নাই,হ্যায়ও বোঝতে পারে নাই
1556,আর পারুলও না বুঝে অন্যদের দোষ দিচ্ছিল,আর ফারুলও নো বুঝি আন্যদের দোষ দিয়ি,আর পারুল এও না বুঝিয়া অইন্যের দোষ দিতো আছিল,আর হারুলও না বুঝি অন্যগো দোষ দিতেআছিলো,আর পারলও না বুঝে অন্যরারে দোষ দিতাসিল,আর পারুলও না বুইঝঝা অন্যগো দোষ দেতেয়াছেলে
1557,তুমি আমাকে দোষ দিচ্ছ কেন,তুই আরে দোষ দিও দে কিল্লাই?,তুমিতাইন আমারে দোষ দিরায় কিতার লাগি?,তুমি আরে দোষ দিতেছো কিল্লেই ?,তুমি আমারে দোষ দিতাসো কেরে ?,তুমি মোরে দোষ দেতেয়াছো কির লইজ্ঞা?
1558,সে রাতের ট্রেনে রাজশাহী থেকে রওনা দিয়েছিল,সে লাতিয়ার ট্রেনর রাজশাহীত্তুন রওনা দিয়ি,হে রাইত ওর ট্রেইনে রাজশাহী তনে রওয়ানা দিছিল,হেতে রাতের ট্রেইনে রাজশাহী তুন রওনা দিছিলো,হেয় রাইতের ট্রেইনে রাজশাহী থাইক্কা রওনা দিসিল,হ্যায় রাইতের টেরেনে রাজশাহী গোনে রওনা দেল্লেহ
1559,এই প্রথম সে ঢাকায় এসেছে,এই ফ্রম সে ঢাহাত আইসসে,ওউ ফয়লা হে ঢাকাত আইছে,এই হথম হেতে ঢাক আইছে,এই প্রথম হেয় ঢাকাত আইসে,এই পোরথোম হ্যায় ঢাহায় আইছে
1560,বাসায় যাওয়ার পথে ফ্লাইওভার দেখে হাবিব অবাক হয়ে গেল,বাসায় যোনের ফোথত ফ্লাইওভার সাইয়েরে হাবিব অবাক অই গিল,বাসাত যাওয়ার সময় ফ্লাইওভার দেখিয়া হাবিব অবাক ওই গেছে,বাসায় যাওনের হথে ফ্লাইওভার ছাই হাবিব অবাক অই গেছে,বাসাত যাওনের পথে ফ্লাইওভার দেইক্ষা হাবিব অবাক হয়া গেল,বাড়ি যাওয়ার পথে ফেলাইওভার দেইকখা হাবিব অটাশ হইয়া গ্যাছে
1561,এটাকে তার মনে হলো দোতলা রাস্তা,ইয়ানোরে দোতালা রাস্তা,ইগুরে তার দুই তালা রাস্তা লাগছে,এইডা হেতার মনে অইলো দোতলা রাস্তা,এইটারে হের মনে হইলো দুইতালা রাস্তা,এইডারে হ্যার মনে হইছে দোতালা রাস্তা
1562,রাস্তার পাশে একটি ফুলের দোকান,রাস্তার ডাহদ্দি এক্কান ফুলোর দোহান,রাস্তার ধারো একটা ফুল ওর দোকান,রাস্তার হাশে ওকগা হুলের দোয়ান,রাস্তার পাশে একটা ফুলের দোকান,রাস্তার ধারে এউক্কা ফুলের দোকান
1563,নানা রকম ফুল থরে থরে সাজানো রয়েছে,নানা ডইল্লে ফুল ঝাকত ঝাকত সাজাই রাইক্কে,বউত জাত ওর ফুল থারিয়া করি সাজানি আছে,মেলা ধরণের হুল থরে থরে হাজানো আছে,নানা রকম ফুল থরে থরে সাজানো আসে,নানা রহমের ফুল থরে থরে সাজাইন্না রইছে
1564,তার ঠিক পাশেই একটা ফলের দোকান,এয়ার টগিক ডাহদ্দি এক্কান ফলের দোহান,ওগুর ঠিক লগেউ একটা ফল ওর দোকান,হেটার ঠিক হাশেই ওকগা হলের দোয়ান,তার ঠিক পাশেই একটা ফলের দোকান,হ্যার ঠিক পাশেই এউক্কা ফলের দোকান
1565,সেখান থেকে বড়ো বোন কিছু পেয়ারা কিনল,ইয়ানত্তুন ভোইন ডর ইবা কিছু ফল কিন্নে,ওখান তিনে বড় বইনে কিছু সফরি কিনছিল,হিয়ান তুন বড্ডা আপা কিছু হেয়ারা কিনলো,ওইহান থাইক্কা বড় বইন কিসু পেয়ারা কিনল,হেইহানে গোনে বড় বুইন গোডাচাইরে হোবরি কেনছে
1566,সবার সাথে কুশল বিনিময় হলো,বেয়াক্কুনের ফোয়ারিত হতাবাত্রা হইয়ে,হকল ওর লগে বালা মন্দ মাত ওইলো,বেকের লগে কুশল বিনিময় অইলো,বেহের লগে কুশল বিনিময় হইল,হগলডির লগে কথাবার্তা হইলে
1567,টেবিলে নাশতা দেওয়া ছিল,টেবিলত নাস্তা দি রাইক্কে,টেবিলও নাস্তা দেওয়া আছিল,টেবিলে নাশতা দেওন আছিলো,টেবিলে নাশতা দেওয়া আসিল,টেবিলে নাস্তা দেওয়া আল্লেহ
1568,হাত মুখ ধুয়ে সে নাশতা করতে বসল,আত মুখ দুইয়েরে হাইবেল্লাই বইসসে,হাত মুখ ধইয়া হে নাস্তা খানিত বইলো,হাত-মুক ধুই হে নাশতা কইরতে বইছে,হাত-মুখ ধুয়া হেয় নাশতা করতে বইল,হাত-মুখ ধুইয়া হ্যায় নাস্তা করতে বইছে
1569,সেদিন ছিল বাংলাদেশ দলের ক্রিকেট খেলা,সেইদিন আসিল বাংলাদেশর ক্রিকেট হেলা,হদিন বাংলাদেশ দল ওর ক্রিকেট খেলা আছিল,হেদিন আছিলো বাংলাদেশ দলের ক্রিকেট খেলা,হেইদিন আসিল বাংলাদেশ দলের ক্রিকেট খেলা,হেইদিন আল্লেহ বাংলাদেশ দলের কিরকেট খ্যালা
1570,খাওয়া শেষ করেই টেলিভিশনের সামনে গিয়ে বসল,হানা শেষ গরিয়েরে টেলিভিশন এর সামনে গিয়েরে বইসসে,খানি শেষ কইরাউ টিভির ধারো গিয়া বইলো,খাওয়া শেষ করিয়ে টেলিভিশনের সামনে যাই বইলো,খাওয়ন শেষ কইরাই টেলিভিশনের সামনে গিয়া বইল,খাওন শ্যাষ কইররাই টিভি'র সামনে বইছে
1571,সব মিলিয়ে তার খুব আনন্দ হচ্ছিল,বেয়াক্কুন মিলিয়েরে আনন্দ অর,সবতা মিলাইয়া তার খুব আনন্দ ওইতো আছিল,বেগগিন মিলাই হেতার খুব আনন্দ হইতেছিলো,সব মিলায়া হের খুব আনন্দ হইতাসিল,বেবাক মিলাইয়া হ্যার বেমালা মজা হইতেয়াছেলে
1572,মেয়ে কী কাণ্ড করেছে জানো,মাইয়াফোয়া ইবা কি হান্ড গরের জানোনা?,ফুরি এগুয়ে কিতা করছে জানো নি,মাইয়া কী কাণ্ড কইরছে জানো?,মাইয়া কী কাণ্ড করসে জানো?,মাইয়া কি আকাম করছে জানো?
1573,সোনার চুড়িটা ভেঙে দু টুকরো করেছে,সোনার চুরিয়ান ভাঙিয়েরে দুই ভাগ গরি ফেইল্লে,সোনার চুড়ি ওগু ভাঙিয়া দুই টুকরা করছে,সোনার চুড়িকান ভাঙি দুই-টুকরা কইরছে,সোনার চুড়িটা ভাইংগা দুই-টুকরা করসে,সোনার চুরি ভাইঙ্গা দুইটুকরা করছে
1574,ইচ্ছা করে ভেঙেছি নাকি,ইচ্ছা গরিয়েরে ভাইঙেনা?,ইচ্ছা করিয়া ভাঙছে৷ নি?,ইচ্ছা করি ভাইঙছে নাকি?,ইচ্ছা কইরা ভাংসি নাকি?,ইচ্ছা কইররা ভাঙছি ত্যায়?
1575,পা পিছলে পড়ে গেলাম তো কী করব,ফা ফিচ্ছিল হাইয়েরে ফোরি গেইলাম তো আই কিত্তাম?,পা পিছলিয়া পড়ি হেছি তে কিতা করতাম?,হা হিছলি হড়ি গেলাম তো কীরতাম?,পা পিসলায়া পইরা গেলাম তো কিতা করবাম?,পাছার খাইয়া পইররা গ্যালাম ত্যায় কি করমু?
1576,আমার যে ব্যথা লাগল সেটা বুঝি কিছু নয়,আর যে ব্যথা লাইজ্ঞে ইয়ান কি বুঝি কিচ্ছু নও,আমি যে দুখ ফাইছি ওগু কিতা কুন্তা নায়?,আর যে দুক্কু লাইগলো হেইডা বুঝি কিছু ন,আমার যে ব্যথা লাগল হেইটা বুঝি কিসু না,মোর যে ব্যথা লাগছে হেইয়া ভুঝি কিছু না
1577,মেয়েকে পরতে দিয়েছিলেন,মাইয়াফোয়ারে ফইত্তে দিয়িলেন,ফুরিরে পড়তে দিছলা নি?,মাইয়ারে হইড়তে দিছিলেন,মাইয়ারে পরতে দিসিলেন,মাইয়ারে পরতে দেল্লাহম
1578,আমার নানা সুস্থ,আর নানা সুস্থ,আমার নানা সুস্থ,আর নানা সুস্থ,আমার নানা সুস্থ,মোর নানা সুস্থ
1579,রোগীকে হাসপাতালে ভর্তি হতে হবে,রোগীরে হাসফাতালত ভত্তি গরন ফরিব,রোগীর হাসপাতাল-ও ভর্তি ওয়া লাগবো,রোগীরে হাসপাতালে ভর্তি অইতে অইবো,রোগীরে হাসপাতালে ভর্তি হইতে হইব,রুগীরে হাসপাতালে ভর্তি হইতে হইবে
1580,এত বড়ো হাসপাতাল আমি আগে দেখিনি,এইল্লে ডর হাসফাতাল আই হোন সমত নো দেহি,ওতো বড় হাসপাতাল আমি আগে দেখছি না,এদ্দুরার জাগা হাসপাতাল আই আগে দেইনো,এত বড়ো হাসপাতাল আমি আগে দেহি নাই,এত্তোর হাসপাতাল মুই আগে দেহিনাই
1581,আমাকে দেখে খুব খুশি হলো,আরে দেহিয়েরে খুব খুশি অইয়ে,আমারে দেখিয়া খুব খুশি ওইলো,আরে দেই খুব খুশি অইলো,আমারে দেইক্ষা মেলা খুশি হইলো,মোরে দেইখ্যা বেমালা খুশি হইছে
1582,আমি অন্যের সাথে কথা বলি,আই অন্যের ফোয়ারিত হতা হইর,আমি আরেকগুর লগে মাতিয়ার,আই অন্যের লগে কতা কই,আমি অন্যের লগে কথা কই,মুই অন্যের লগে কথা কই
1583,তিনি বিদেশ থেকে এসেছেন,তিনি বিদেশেত্তুন আইসসে,তাইন বিদেশ তনে আইছোইন,হেতোনে বিদেশ তুন আইছেন,হেয় বিদেশ থাইক্কা আইসেন,হ্যায় বিদেশে গোনে আইছে
1584,তিনি কোন বিষয় নিয়ে কথা বলছিলেন,তিনি হোন বিষয় লইয়েরে হথা হন্না?,তাইন কিতা লইয়া মাতাত আছলা?,হেতনে কোন বিষয় লই কতা কইছিলেন?,হেয় কোন বিষয় নিয়া কথা কইতাসিলেন?,হ্যায় কোন বিষয় লইয়া কথা কইতেয়াছেলে?
1585,চলো ঐতিহাসিক জায়গাইয় ঘুরতে যাব,চলো ঐতিহাসিক জায়গাত গুরিবেল্লাই যাইয়ুম,চলো তে ঐতিহাসিক জেগাত ঘুরাত যাই,চলো ঐতিহাসিক জায়গাত ঘুইরতে যাইয়ুম,চল ঐতিহাসিক জায়গাইয় ঘুরতে যায়াম,লও ঐতিহাসিক জায়গায় ঘোরতে যামু
1586,ঠিক করা হলো সবাই মিলে যাব,ঠিক গইজ্জে বেয়াক্কুন মিলিয়েরে যাইয়ুম,ঠিক ওইলো হকলে মিলিয়া যাইমু,ঠিক করন অইলো বেকে মিলি যাইয়ুম,ঠিক করা হইলো বেহেই মিল্লা যায়াম,ঠিক করা হইছে হগলডি মিললা যামু
1587,আমাদের যাওয়ার কথা শুনে সেও যাইতে চাইল,আরার যাইবের হতা ফুনিয়েরে সেও যাইবেল্লাই চাইয়ে,আমরার যাওয়ার কথা হুনিয়া হেও যাইতো চাইলো,আঙ্গো যানের কতা হুনি হেতেও যাইতে চাইল,আমরার যাওনের কথা হুইন্না হেও যাইতে চাইল,মোগো যাওনের কথা হুইন্না হ্যায়ও যাইতে চাইছে
1588,সব মানুষের ভাষা এক রকমের নয়,বেয়াক মানুষের ভাষা এক ডইল্লে নো,সব মাইনষের ভাষা এক লাকান নায়,বেক মাইনষের ভাষা এক রকম ন,বেগ মানুষের ভাষা এক রহমের না,হগল মানের ভাষা এক রহম না
1589,সে মাঠে আসেনি,সে মাঠত নো আইয়ে,হে মাঠ-ও আইছে না,হেতে মাডে আইয়েনো,হেয় মাঠে আয় নাই,হ্যায় মাডে আয়নাই
1590,জরুরি সভা হবে,জরুরি সভা অইব,জরুরি সভা ওইবো,জরুরি সভা অইবো,জরুরি সভা হইব,জরুলি সভা হইবে
1591,হাসপাতালে আমি আগে যাইনি,হাসফাতালত আগে আই নো যাই,হাসপাতালও আমি আগে গেছি না,হাসপাতালে আই আগে যাইনো,হাসপাতালে আমি আগে যাই নাই,হাসপাতালে মুই আগে যাই নাই
1592,আমি অন্যের সাথে কথা বলি না,আই অন্যের ফোয়ারিত হতা নো হই,আমি অইন্যের লগে মাতি না,আই অন্যের লগে কতা কই না,আমি অন্যের সাথে কথা কই না,মুই অন্যের লগে কথা কই না
1593,তিনি কি বিদেশ থেকে এসেছেন,তিনি কি বিদেশেত্তুন আইসসে না,তাইন কিতা বিদেশ তনে আইছোইন নি?,হেতনে কি বিদেশ তুন আইছেন,হেয় কিতা বিদেশ থাইক্কা আইসেন,হ্যায় কি বিদেশে গোনে আইছে
1594,সবার ভাষা এক রকমের নয়,বেয়াক ভাষা এক ডইল্লে নো,সব ওর ভাষা এক লাকান নায়,বেকের ভাষা এক রকমের ন,বেহের ভাষা এক রহমের না,হগলডির ভাষা এক রহমের না
1595,তার কাছে অনেক টাকা আছে,তার হাসে বহুত টেয়া আসে,তার ধারো বউত টেখা আছে,হেতার কাছে মেলা টেয়া আছে,হের কাসে মেলা টেহা আসে,হ্যার ধারে বেমালা টাহা আছে
1596,কয়েক দিন অপেক্ষা করো,হয়েক্কান দিন অফেক্ষা গরন,কয়েকদিন উবাও একটু,কোগা দিন অপেক্ষা করো,কয়েক দিন অপেক্ষা কর,কয়ডা দিন অপেক্ষা কর
1597,আমার বাসার কাছে রাস্তার পাশে একটি ফুলের দোকান,আর বাসার ডাহরদি এক্কান ফুলোর দোহান,আমার বাসার ওবায় রাস্তার ধারো একটা ফুল ওর দোকান,আর বাসার লগে রাস্তার হাশে ওকগা হুলের দোয়ান,আমার বাসার কাসে রাস্তার পাশে একটা ফুলের দোহান,মোর বাড়ির ধারে রাস্তার পাশে এউক্কা ফুলের দোহান
1598,তার কাছে অনেক দেশের টাকা আছে,তাহ হাসত বহুত দেশর টেয়া আসে,তার ধারো বউত দেশ ওর টেখা আছে,হেতার কাছে মেলা দেশের টেয়া আছে,হের কাসে মেলা দেশের টেহা আসে,হ্যার ধারে ম্যালা দেশের টাহা আছে
1599,আমি তোমাকে একটা উপহার দিতে চাই,আই তোওয়ারে এক্কান উফহার দিতাম চাইর,আমি তুমিতাইন রে একটা উপহার দিতাম চাই,আই তোয়ারে ওকগা উপহার দিতাম চাই,আমি তোমারে একটা উপহার দিতাম চাই,মুই তোমারে এউক্কা উপহার দেতে চাই
1600,সব শুনে আমি বললাম,বেয়াক্কুন ফুনিয়েরে আই হইলাম,হকলতা হুনিয়াউ আমি কইলাম,বেগগিন হুনি আই কইলাম,সব হুইন্না আমি কইলাম,বেবাক হুইননা মুই কইলাম
1601,কয়েক দিন অপেক্ষা করে দেখো,হয়েক্কান দিন অফেক্ষা গরি দেহো,কয়েকদিন উবাইয়া দেখো,কোগাদিন অপেক্ষা করি চাও,কয়েক দিন অপেক্ষা কইরা দেহো,কয়ডা দিন অপেক্ষা কইররা দ্যাহো
1602,কিছু দিন পরে পারুল নিজেই জানাল বইটা পাওয়া গেছে,"কিছু দিন ফর পারুল নিজেই জানাইয়ে, বইয়ান ফোন গিয়ে","কিছুদিন বাদে পারুলে নিজেউ জানাইলো, বই ওগু ফাওয়া গেছে","কিছু দিন হরে হারুল নিজেই জানাইছে, বইকান হাওন গেছে","কিসু দিন বাদে পারুল নিজেই জানাইল, বইটা পাওয়ন গেসে",কয়ডা দিন পর পারুল নিজেই কইলো বইডা পাওয়া গ্যাছে
1603,এক বই নিয়ে এত ঘটনা ঘটে যাবে,এক্কান বই লইয়েরে এত ঘটনা ঘটি যাইব,একগু বই নিয়া ওতো ঘটনা ঘটি যাইবো,ওকগা বই লই এতাগাইন ঘটনা ঘডি যাইবো,এক বই লয়া এত ঘটনা ঘইটটা যাইব,এউক্কা বই লইয়া এত ঘটনা ঘইটটা যাইবে
1604,সে না বুঝে অন্যদের দোষ দিচ্ছিল,সে নো বিঝুয়েরে অন্যদের দোষ দিয়িল,হে না বুঝিয়াউ অইন্যরে দোষ দিতো আছলো!,হিগা না বুঝি অন্যগো দোষ দিতেআছিলো,হেয় না বুইজ্ঝা অন্যদের দোষ দিতাসিল,হ্যায় না বুইজঝা অন্যডির দোষ দেতেয়াছেলে
1605,কমলাপুর রেলস্টেশন থেকে বোনের বাসায় যাচ্ছি,হমলাফুর রেল স্টেশনত্তুন ভোইনর বাসাত যাইর,কমলাপুর রেলস্টেশন তনে বইন ওর বাসাত আইছি,কমলাহুর রেলস্টেশন তুন বোইনের বাসাত যাইতেছি,কমলাপুর রেলস্টেশন থাইক্কা বইনের বাসায় যাইতাসি,কমলাপুর রেল এস্টেশন গোনে বুইনের বাড়ি যাইতেয়াছি
