SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
500,নাস্তা হরিয়ার স্কুলত যাই না,নাস্তা খাইয়া বাদে স্কুল ও যাই না,নাস্তা কইররা স্কুলে যাই না,নাস্তা করে স্কুলে যাই না,Don’t have breakfast and go to school
501,স্কুলত যাই না,স্কুল ও যাই না,স্কুলে যাই না,স্কুলে যাই না,Don’t go to school
502,আই নাস্তা হরিয়ার স্কুলত যাই না,আমি নাস্তা খাইয়া বাদে স্কুল ও যাই না,মুই নাস্তা কইররা স্কুলে যাই না,আমি নাস্তা করে স্কুলে যাই না,I don’t have breakfast and go to school
503,ইতে ফরের মাশত বিদেশ জৈব গৌ ,তাই বাদের মাশও বিদেশ যাইবো গি,হেয় পরের মাসে বিদেশ চইল্যা যাইবে,সে পরের মাসে বিদেশ চলে যাবে,He will go abroad next month
504,ফরের মাশত বিদেশ জৈব গৌ ,বাদের মাশও বিদেশ যাইবো গি,পরের মাসে বিদেশ চইল্যা যাইবে,পরের মাসে বিদেশ চলে যাবে,Will go abroad next month
505,ইতে বিদেশ জৈব গৌ ,তাই বিদেশ যাইবো গি,হেয় বিদেশ চইল্যা যাইবে,সে বিদেশ চলে যাবে,He will go abroad
506,বিদেশ জৈব গৌ ,বিদেশ যাইবো গি,বিদেশ চইল্যা যাইবে,বিদেশ চলে যাবে,Will go abroad
507,জৈব গৌ ,যাইবো গি,চইল্যা যাইবে,চলে যাবে,Will go
508,বেদি ইবা বেশি বেয়াদব,ফুরিতা যে বেয়াদপ ,মাইয়াডা বেমালা বেদ্দপ ,মেয়েটি খুবই বেয়াদব ,The girl is very rude
509,বেশি বেয়াদব,যে বেয়াদপ ,বেমালা বেদ্দপ ,খুবই বেয়াদব ,Very rude
510,বেদি বেয়াদব,যে বেয়াদপ ,বেমালা বেদ্দপ ,মেয়েটি বেয়াদব ,The girl is rude
511,ইতে ইবা বেশি বেয়াদব,তাই যে বেয়াদপ ,হেয় বেমালা বেদ্দপ ,সে খুবই বেয়াদব ,He is very rude
512,ইতে বেয়াদব,তাই বেয়াদপ ,হেয় বেদ্দপ ,সে বেয়াদব ,He is rude
513,ফুয়া ইবা রাস্তা দিয়েরে হাথি যার গোয় ,ফুয়াগু রাস্তা বায়দি হাটিয়া যাইরো ,পোলাডা রাস্তা দিয়া হইত্তা যাইতেয়াছে ,ছেলেটি রাস্তা দিয়ে হেটে যাচ্ছে,The boy is walking along the road
514,রাস্তা দিয়েরে হাথি যার গোয় ,রাস্তা বায়দি হাটিয়া যাইরো ,রাস্তা দিয়া হইত্তা যাইতেয়াছে ,রাস্তা দিয়ে হেটে যাচ্ছে,Walking along the road
515,হাথি যার গোয় ,হাটিয়া যাইরো ,হইত্তা যাইতেয়াছে ,হেটে যাচ্ছে,Walking
516,ফুয়া ইবা হাথি যার গোয় ,ফুয়াগু হাটিয়া যাইরো ,পোলাডা হইত্তা যাইতেয়াছে ,ছেলেটি হেটে যাচ্ছে,The boy is walking
517,ফুয়া ইবা রাস্তা দিয়েরে যার গোয় ,ফুয়াগু রাস্তা বায়দি যাইরো ,পোলাডা রাস্তা দিয়া যাইতেয়াছে ,ছেলেটি রাস্তা দিয়ে যাচ্ছে,The boy is going along the road
518,মৈফিয়াইবা লাল রঙের শাড়ি ফরি আর লই দেহা গৈর তো আইসে ,ফুরিতায় লাল রংগর শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,মাইয়গা লাল রুঙ্গা শাড়ি পইড়া মোর লগে দেহা হরতে আইসিল,মেয়েটি লাল রঙের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,The girl came to meet me wearing a red saree
519,মৈফিয়াইবা শাড়ি ফরি আর লই দেহা গৈর তো আইসে ,ফুরিতায় শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,মাইয়গা শাড়ি পইড়া মোর লগে দেহা হরতে আইসিল,মেয়েটি শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,The girl came to meet me wearing a saree
520,লাল রঙের শাড়ি, লাল রংগর শারি,লাল রুঙ্গা শাড়ি, লাল রঙের শাড়ি,Red saree
521,আর লই দেহা গৈর তো আইসে,মর লগে দেখা করাত আইছিল,মোর লগে দেহা হরতে আইসিল,আমার সাথে দেখা করতে এসেছিল,Came to meet me
522,দেহা গৈর তো আইসে,দেখা করাত আইছিল,দেহা হরতে আইসিল,দেখা করতে এসেছিল,Came to meet
523,মৈফিয়াইবা দেহা গৈর তো আইসে ,ফুরিতায় দেখা করাত আইছিল,মাইয়গা দেহা হরতে আইসিল,মেয়েটি দেখা করতে এসেছিল,The girl came to meet
524,মৈফিয়াইবা আর লই দেহা গৈর তো আইসে ,ফুরিতায় মর লগে দেখা করাত আইছিল,মাইয়গা মোর লগে দেহা হরতে আইসিল,মেয়েটি আমার সাথে দেখা করতে এসেছিল,The girl came to meet me
525,শাড়ি ফরি আর লই দেহা গৈর তো আইসে ,শারি পিন্দিয়া মর লগে দেখা করাত আইছিল,শাড়ি পইড়া মোর লগে দেহা হরতে আইসিল,শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,Wearing a saree came to meet me
526,আর লই দেহা,মর লগে দেখা ,মোর লগে দেহা,আমার সাথে দেখা ,Came to meet with me
527,লাল রঙের শাড়ি ফরি আর লই দেহা ,লাল রংগর শারি পিন্দিয়া মর লগে দেখা ,লাল রুঙ্গা শাড়ি পইড়া মোর লগে দেহা ,লাল রঙের শাড়ি পরে আমার সাথে দেখা ,Wearing a red saree met with me
528,মা ওইদিন ঠিক হতাই হইলো,আম্মায় হেদিন থিক কথাউ কইছলা,মায়ে ওইদিন হাসইও কথাই কইসেলে ,মা সেদিন ঠিকই বলেছিল,Mom was right that day
529,মা ঠিক হতাই হইলো,আম্মায় থিক কথাউ কইছলা,মায়ে হাসইও কথাই কইসেলে ,মা ঠিকই বলেছিল,Mom was right
530,ঠিক হতাই হইলো,থিক কথাউ কইছলা,হাসইও কথাই কইসেলে ,ঠিকই বলেছিল,Was right
531,আমি এন্ডে যাইয়ুম ,আমি ওখানো যাইমু ,মুই ওইহানে যামু ,আমি ওখানে যাব,I will go there
532,ইক্কে নযাইয়ুম ,ওবায় যাইতাম না,হুমমে যামু না,ওদিকে যাব না,Won’t go that way
533,ইক্কে যাইয়ুম ,ওবায় যাইমু,হুমমে যামু ,ওদিকে যাব,Will go that way
534,আই আরি গিয়ি ,আমরা হারি গেছি,মোরা থোইক্কা গেছি,আমরা হেরে গেছি,We lost
535,আরি গিয়ি ,হারি গেছি,থোইক্কা গেছি,হেরে গেছি,Lost
536,আরা হারি গিয়ি ,আমরা হারি গেছিলাম,মোরা থোইক্কা গেলাম,আমরা হেরে গেছিলাম,We had lost
537,হারি গিয়ি ,হারি গেছিলাম,থোইক্কা গেলাম,হেরে গেছিলাম,Had lost
538,আরা গিয়ি ,আমরা গেছিলাম,মোরা গেলাম,আমরা গেছিলাম,We went
539,আম ইবা হন হাইয়ে,আম ওগু কে খাইছিল?,আমডা কেডা খাইল্লে?,আমটি কে খেয়েছিল?,Who ate the mango?
540,ইবা হন হাইয়ে,কে খাইছিল?,কেডা খাইল্লে?,কে খেয়েছিল?,Who ate it?
541,আম হাইয়ে,আম খাইছিল,আমডা খাইল্লে,আমটি খেয়েছিল,Ate the mango
542,আই আছি,আমি আছি,আমি আছি,আমি আছি,I am here
543,আরে বিশ্বাস গোরো ,আমারে বিশ্বাস করো ,মোরে বিশ্বাস করো,আমাকে বিশ্বাস করো,Trust me
544,বিশ্বাস গোরো ,বিশ্বাস করো,বিশ্বাস করো,বিশ্বাস করো,Trust
545,শুক্রবার আরা গিয়ি ,শুক্রবার আমরা গেছিলাম,শুক্কুরবার মোরা গেলাম,শুক্রবার আমরা গেছিলাম ,"On Friday, we went"
546,শুক্রবার মা ওইদিন ঠিক হতাই হইলো,শুক্রবার আম্মায় হেদিন থিক কথাউ কইছলা,শুক্কুরবার মায়ে ওইদিন হাসইও কথাই কইসেলে ,শুক্রবার মা সেদিন ঠিকই বলেছিল,"On Friday, mom was right"
547,আর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,আময়ার গাড়ি ওগু গতকাইল চুরি অই গেছে,মোর গাড়িডা গতকাইল চুরি হইয়া গেছে,আমার গাড়িটা গতকাল চুরি হয়ে গেছে,My car was stolen yesterday
548,আর ঘরত গতো হালিয়া রাইত ওত চুরি ওইয়ে,আমার বাসাত গতকাইল চুরি অই গেছে,মোর বাসায় গতকাইল রাইতে চুরি হইছে,আমার বাসায় গতকাল চুরি হয়েছে,There was a theft at my house yesterday
549,ঘরত গতো হালিয়া রাইত ওত চুরি ওইয়ে,বাসাত গতকাইল চুরি অই গেছে,বাসায় গতকাইল রাইতে চুরি হইছে,বাসায় গতকাল চুরি হয়েছে,There was a theft at the house yesterday
550,গতো হালিয়া রাইত ওত চুরি ওইয়ে,গতকাইল চুরি অই গেছে,গতকাইল রাইতে চুরি হইছে,গতকাল চুরি হয়েছে,Theft happened yesterday
551,আর গাড়ির রঙ লাল,আমার গাড়ি ওগুর রঙ অইল লাল,মোর গাডির রঙ হইলে লাল,আমার গাডির রঙ লাল,My car is red
552,গাড়ির রঙ লাল,গাড়ি ওগুর রঙ অইল লাল,গাডির রঙ হইলে লাল,গাডির রঙ লাল,Car is red
553,সহজ ভাষাত হতা হউয়া উচিৎ,সহজ ভাষায় মাতা উচিৎ,সহজ ভাষায় কথা কওয়া উচিৎ,সহজ ভাষায় কথা বলা উচিৎ,Should speak in simple language
554,আই অনর ফয়ারে আছি,আমি আফনার লগে আছি,মুই আমনের লগে আছি,আমি আপনার সংগে আছি,I am with you
555,অনর ফয়ারে আছি,আফনার লগে আছি,আমনের লগে আছি,আপনার সংগে আছি,With you
556,ফয়ারে আছি,লগে আছি,লগে আছি,সংগে আছি,I am with
557,আর আব্বু বিদেশ তাকে,আমার আব্বা বিদেশ থাকোইন,মোর আব্বায় বিদেশ থাকে,আমার আব্বু বিদেশ থাকে,My father lives abroad
558,আব্বু বিদেশ তাকে,আব্বা বিদেশ থাকোইন,আব্বায় বিদেশ থাকে,আব্বু বিদেশ থাকে,Father lives abroad
559,বিদেশ তাকে,বিদেশ থাকোইন,বিদেশ থাকে,বিদেশ থাকে,Lives abroad
560,আর বড় বইন আরে বহুত ভালোবাসে,আমার বর বইনে আমারে খুব ভালা ফায়,মোর বড় বুইন মোরে বেমালা ভালোবাসে,আমার বড় বোন আমাকে অনেক ভালোবাসে,My elder sister loves me very much
561,বড় বইন আরে বহুত ভালোবাসে,বর বইনে আমারে খুব ভালা ফায়,বড় বুইন মোরে বেমালা ভালোবাসে,বড় বোন আমাকে অনেক ভালোবাসে,Elder sister loves me very much
562,বইন আরে বহুত ভালোবাসে,বইনে আমারে খুব ভালা ফায়,বুইন মোরে বেমালা ভালোবাসে,বোন আমাকে অনেক ভালোবাসে,Sister loves me very much
563,আরে বহুত ভালোবাসে,আমারে খুব ভালা ফায়,মোরে বেমালা ভালোবাসে,আমাকে অনেক ভালোবাসে,Loves me very much
564,আর বইন আরে বহুত ভালোবাসে,আমার বইনে আমারে খুব ভালা ফায়,মোর বুইন মোরে বেমালা ভালোবাসে,আমার বোন আমাকে অনেক ভালোবাসে,My sister loves me very much
565,আর বড় বইঙ্কে আই বহুত ভালোবাসি,আমার বড় বইনরে আমি খুব ভালা ফাই,মোর বড় বুইনরে মুই অনেক ভালোবাসি,আমার বর বোনকে আমি অনেক ভালোবাসি,I love my elder sister very much
566,বড় বইঙ্কে আই বহুত ভালোবাসি,বড় বইনরে আমি খুব ভালা ফাই,বড় বুইনরে মুই অনেক ভালোবাসি,বর বোনকে আমি অনেক ভালোবাসি,Love elder sister very much
567,বইঙ্কে আই বহুত ভালোবাসি,বইনরে আমি খুব ভালা ফাই,বুইনরে মুই অনেক ভালোবাসি,বোনকে আমি অনেক ভালোবাসি,Love sister very much
568,অনর বড় বইনের কি বিয়া ওই গেইয়ু নি?,আফনার বড় বইনের কিতা বিয়া অই গেছে নি?,আমনের বড় বুইনের কি বিয়া হইয়া গেছে?,আপনার বড় বোনের কি বিয়ে হয়ে গেছে?,Has your elder sister gotten married?
569,বড় বইনের কি বিয়া ওই গেইয়ু নি?,বড় বইনের কিতা বিয়া অই গেছে নি?,বড় বুইনের কি বিয়া হইয়া গেছে?,বড় বোনের কি বিয়ে হয়ে গেছে?,Has elder sister gotten married?
570,বইনের কি বিয়া ওই গেইয়ু নি?,বইনের কিতা বিয়া অই গেছে নি?,বুইনের কি বিয়া হইয়া গেছে?,বোনের কি বিয়ে হয়ে গেছে?,Has sister gotten married?
571,কি বিয়া ওই গেইয়ু নি?,কিতা বিয়া অই গেছে নি?,কি বিয়া হইয়া গেছে?,কি বিয়ে হয়ে গেছে?,Gotten married?
572,অনর বইনের কি বিয়া ওই গেইয়ু নি?,আফনার বইনের কিতা বিয়া অই গেছে নি?,আমনের বুইনের কি বিয়া হইয়া গেছে?,আপনার বোনের কি বিয়ে হয়ে গেছে?,Has your sister gotten married?
573,অনর কি বিয়া ওই গেইয়ু নি?,আফনার কিতা বিয়া অই গেছে নি?,আমনের কি বিয়া হইয়া গেছে?,আপনার কি বিয়ে হয়ে গেছে?,Have you gotten married?
574,তোর বড় বাইয়ের নাম কি,তোর বড় ভাইওর নাম কিতা?,তোর বড় ভাইয়ের নাম কি?,তোর বড় ভাইয়ের নাম কি?,What is your elder brother’s name?
575,বড় বাইয়ের নাম কি,বড় ভাইওর নাম কিতা?,বড় ভাইয়ের নাম কি?,বড় ভাইয়ের নাম কি?,What’s elder brother’s name?
576,বাইয়ের নাম কি,ভাইওর নাম কিতা?,ভাইয়ের নাম কি?,ভাইয়ের নাম কি?,What’s brother’s name?
577,বিদেশত ঘুইরতো যাওয়া আর স্বপ্ন,বিদেশ ঘুরাত যাওয়া আমার স্বপ্ন,বিদেশ ঘোরতে যাওয়া মোর স্বপ্ন,বিদেশ ঘুরতে যাওয়া আমার স্বপ্ন,Going abroad is my dream
578,ঘুইরতো যাওয়া আর স্বপ্ন,ঘুরাত যাওয়া আমার স্বপ্ন,ঘোরতে যাওয়া মোর স্বপ্ন,ঘুরতে যাওয়া আমার স্বপ্ন,Going for a trip is my dream
579,আর স্বপ্ন,আমার স্বপ্ন,মোর স্বপ্ন,আমার স্বপ্ন,My dream
580,আই হন ওত্তে তোয়ারে ন ভুইল্লম,আমি কোনো সময়ও তোমারে ভুলতাম না,মুই কখনই তোমারে ভুলমু না,আমি কখনো তোমাকে ভুলবো না,I will never forget you
581,হন ওত্তে তোয়ারে ন ভুইল্লম,কোনো সময়ও তোমারে ভুলতাম না,কখনই তোমারে ভুলমু না,কখনো তোমাকে ভুলবো না,Never forget you
582,তোয়ারে ন ভুইল্লম,তোমারে ভুলতাম না,তোমারে ভুলমু না,তোমাকে ভুলবো না,Forget you
583,ন ভুইল্লম,ভুলতাম না,ভুলমু না,ভুলবো না,Won’t forget
584,তুই আর জীবনের আলো,তুমাইতাইম অইলায় আমার জীবনের আলো,তুমি মোর জীবনের আলো,তুমি আমার জীবনের আলো,You are the light of my life
585,আর জীবনের আলো,অইলায় আমার জীবনের আলো,মোর জীবনের আলো,আমার জীবনের আলো,Light of my life
586,জীবনের আলো,জীবনের আলো,জীবনের আলো,জীবনের আলো,Light of life
587,আরে এদে লই জ,আমারে অনো লইয়া চলো,মোরে হেইহানে লইয়া লউ,আমাকে সেখানে নিয়ে চলো,Take me there
588,এদে লই জ,অনো লইয়া চলো,হেইহানে লইয়া লউ,সেখানে নিয়ে চলো,Take there
589,বউদ্দিন আগে এক গেরামত এক টুফিওয়ালা আছিলো,বাক্কা দিন আগে এক গ্রামো এক টুপিয়ালা আছিল,মেলা দিন আগে এক গেরামে এক টুপি বিক্রেতা ছেলো,অনেকদিন আগে এক গ্রামে এক টুপি বিক্রেতা ছিলেন,"Once upon a time in a village, there was a hat seller"
590,এক গেরামত এক টুফিওয়ালা আছিলো,এক গ্রামো এক টুপিয়ালা আছিল,এক গেরামে এক টুপি বিক্রেতা ছেলো,এক গ্রামে এক টুপি বিক্রেতা ছিলেন,"In a village, there was a hat seller"
591,এক টুফিওয়ালা আছিলো,এক টুপিয়ালা আছিল,এক টুপি বিক্রেতা ছেলো,এক টুপি বিক্রেতা ছিলেন,There was a hat seller
592,টুফিওয়ালা আছিলো,টুপিয়ালা আছিল,টুপি বিক্রেতা ছেলো,টুপি বিক্রেতা ছিলেন,Hat seller was there
593,এত্তে দাহদ্দি ওগগা ইয়াল যার,হে সময় কান্দা দিয়া একগু শিয়াল যাইতো আছিলো,হেই কালে লগে দিয়া এউক্কা হিয়াল যায়তেয়াছেলো,সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিলো,"At that time, a fox was passing by"
594,তুয়ারে দেহি ,তুমাকে দেখিয়া ,তোমারে দেইখা ,তোমাকে দেখে ,Seeing you
595,দোর ওই তিয়ায় আছিলাম,ভেমতালা লাগিয়া উবাই রইছিলাম,থমকে খারাইয়া আছেলাম,থমকে দাঁড়িয়ে ছিলাম,I stood still
596,তিয়ায় আছিলাম,উবাই রইছিলাম,খারাইয়া আছেলাম,দাঁড়িয়ে ছিলাম,Stood still
597,আব্বু আর লাই লাল জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,আব্বা মোর লাইগা লাল জামা কিন্ন্যা আনছে,আব্বু আমার জন্য লাল জামা কিনে এনেছে,Dad bought me a red dress
598,আর লাই লাল জামা কিনি আইন্ন্যে,মোর লাগি লাল জামা কিনিয়া আনছইন,মোর লাইগা লাল জামা কিন্ন্যা আনছে,আমার জন্য লাল জামা কিনে এনেছে,Bought me a red dress
599,লাল জামা কিনি আইন্ন্যে,লাল জামা কিনিয়া আনছইন,লাল জামা কিন্ন্যা আনছে,লাল জামা কিনে এনেছে,Red dress bought
600,জামা কিনি আইন্ন্যে,জামা কিনিয়া আনছইন,জামা কিন্ন্যা আনছে,জামা কিনে এনেছে,Bought dress
601,কিনি আইন্ন্যে,কিনিয়া আনছইন,কিন্ন্যা আনছে,কিনে এনেছে,Bought
602,আব্বু লাল জামা কিনি আইন্ন্যে,আব্বায় লাল জামা কিনিয়া আনছইন,আব্বা লাল জামা কিন্ন্যা আনছে,আব্বু লাল জামা কিনে এনেছে,Dad bought a red dress
603,আব্বু জামা কিনি আইন্ন্যে,আব্বায় জামা কিনিয়া আনছইন,আব্বা জামা কিন্ন্যা আনছে,আব্বু জামা কিনে এনেছে,Dad bought a dress
604,আব্বু কিনি আইন্ন্যে,আব্বায় কিনিয়া আনছইন,আব্বা কিন্ন্যা আনছে,আব্বু কিনে এনেছে,Dad bought
605,আব্বু আর লাই সবুজ  জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি সবুজ  জামা কিনিয়া আনছইন,আব্বা মোর লাইগা সবুজ জামা কিন্ন্যা আনছে,আব্বু আমার জন্য সবুজ  জামা কিনে এনেছে,Dad bought me a green dress
606,আব্বু আর লাই কালো  জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি কালো জামা কিনিয়া আনছইন,আব্বা মোর লাইগা কালো  জামা কিন্ন্যা আনছে,আব্বু আমার জন্য কালো   জামা কিনে এনেছে,Dad bought me a black dress
607,আব্বু আর লাই সাদা জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি সাদা জামা কিনিয়া আনছইন ,আব্বা মোর লাইগা সাদা জামা কিন্ন্যা আনছে,আব্বু আমার জন্য সাদা জামা কিনে এনেছে,Dad bought me a white dress
608,আব্বু আর লাই নীল জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি নীল জামা কিনিয়া আনছইন,আব্বা মোর লাইগা নীল জামা কিন্ন্যা আনছে,আব্বু আমার জন্য নীল জামা কিনে এনেছে,Dad bought me a blue dress
609,চুললিন বহুত লম্বা,চুলগুন যে লম্বা,চুলগুলান মেলা লম্বা,চুলগুলো অনেক লম্বা,The hair is very long
610,বহুত লম্বা,যে লম্বা,মেলা লম্বা,অনেক লম্বা,Very long
611,ইবারে হাজল দিলে বহুত ভালা লাগে,তারে কাজল দিলে বাক্কা ভালা লাগে,হেরে কাজল দেলে মেলা ভালো লাগে,তাকে কাজল দিলে অনেক ভালো লাগে,She looks good with kajal
612,হাজল দিলে বহুত ভালা লাগে,কাজল দিলে বাক্কা ভালা লাগে,কাজল দেলে মেলা ভালো লাগে,কাজল দিলে অনেক ভালো লাগে,Looks good with kajal
613,বহুত ভালা লাগে,বাক্কা ভালা লাগে,মেলা ভালো লাগে,অনেক ভালো লাগে,Looks very good
614,তুই এদে থাকিলে আই খুশি,তুমি অনো থাকলে আমি খুশি,তুমি এইহানে থাকলে মুই খুশি,তুমি এখানে থাকলে আমি খুশি,I’m happy if you stay here
615,এদে থাকিলে আই খুশি,অনো থাকলে আমি খুশি,এইহানে থাকলে মুই খুশি,এখানে থাকলে আমি খুশি,"If you stay here, I’m happy"
616,থাকিলে আই খুশি,থাকলে আমি খুশি,থাকলে মুই খুশি,থাকলে আমি খুশি,"Stay here, I’m happy"
617,আই খুশি,আমি খুশি,মুই খুশি,আমি খুশি,I am happy
618,আর লাল রঙ ওর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,আময়ার লাল রঙ ওর গাড়ি ওগু গতকাইল চুরি অই গেছে,মোর লাল রঙের গাড়িডা গতকাইল চুরি হইয়া গেছে,আমার লাল রঙের গাড়িটা গতকাল চুরি হয়ে গেছে,My red car was stolen yesterday
619,লাল রঙ ওর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,লাল রঙ ওর গাড়ি ওগু গতকাইল চুরি অই গেছে,লাল রঙের গাড়িডা গতকাইল চুরি হইয়া গেছে,লাল রঙের গাড়িটা গতকাল চুরি হয়ে গেছে,Red car was stolen yesterday
620,গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,গাড়ি ওগু গতকাইল চুরি অই গেছে,গাড়িডা গতকাইল চুরি হইয়া গেছে,গাড়িটা গতকাল চুরি হয়ে গেছে,The car was stolen yesterday
621,গতো হালিয়া চুরি ওইয়ে,গতকাইল চুরি অই গেছে,গতকাইল চুরি হইয়া গেছে,গতকাল চুরি হয়ে গেছে,Stolen yesterday
622,চুরি ওইয়ে,চুরি অই গেছে,চুরি হইয়া গেছে,চুরি হয়ে গেছে,Stolen
623,শুক্রবার আই আরি গিয়ি ,শুক্রবার আমরা হারি গেছি,শুক্কুরবার মোরা থোইক্কা গেছি,শুক্রবার আমরা হেরে গেছি,"On Friday, we lost"
624,ইতে আরে অফমান গরিয়ে,হে আমারে অফমান করে,হে মোরে অপমান হরে,সে আমাকে অপমান করে,He insults me
625,আরে অফমান গরিয়ে,আমারে অফমান করে,মোরে অপমান হরে,আমাকে অপমান করে,Insults me
626,অফমান গরিয়ে,অফমান করে,অপমান হরে,অপমান করে,Insults
627,ইতে অফমান গরিয়ে,হে অফমান করে,হে অপমান হরে,সে অপমান করে,He insults
628,তুই কি আরে চিনো নি,তুমি আমারে চিনো নি?,তুমি কি মোরে চেনো?,তুমি কি আমাকে চিনো?,Do you know me?
629,শুক্রবার মা ঠিক হতাই হইলো,শুক্রবার আম্মায় থিক কথাউ কইছলা,শুক্কুরবার মায়ে হাসইও কথাই কইসেলে ,শুক্রবার মা ঠিকই বলেছিল,"On Friday, mom was right"
630,শুক্রবার আমি এন্ডে যাইয়ুম ,শুক্রবার আমি ওখানো যাইমু ,শুক্কুরবার মুই ওইহানে যামু ,শুক্রবার আমি ওখানে যাব,I will go there on Friday
631,শুক্রবার ইক্কে নযাইয়ুম ,শুক্রবার ওবায় যাইতাম না,শুক্কুরবার হুমমে যামু না,শুক্রবার ওদিকে যাব না,Won’t go that way on Friday
632,শুক্রবার ইক্কে যাইয়ুম ,শুক্রবার ওবায় যাইমু,শুক্কুরবার হুমমে যামু ,শুক্রবার ওদিকে যাব,Will go that way on Friday
633,তুই আরে চিনো নি,তুমি আমারে চিনো নি?,তুমি মোরে চেনো?,তুমি আমাকে চিনো?,Do you know me?
634,আরে চিনো নি,আমারে চিনো নি?,মোরে চেনো?,আমাকে চিনো?,Know me?
635,আই আজিয়া বিয়াইন্না ফুটবল খেলা আইহি,মুই আইজ বিয়ানে ফুটবল খেলাইছি,মুই আইজ বেইন্ন্যা কালে ফুটবল খেলেছি,আমি আজ সকালে ফুটবল খেলেছি,I played football this morning
636,আজিয়া বিয়াইন্না ফুটবল খেলা আইহি,আইজ বিয়ানে ফুটবল খেলাইছি,আইজ বেইন্ন্যা কালে ফুটবল খেলেছি,আজ সকালে ফুটবল খেলেছি,Played football this morning
637,বিয়াইন্না ফুটবল খেলা আইহি,বিয়ানে ফুটবল খেলাইছি,বেইন্ন্যা কালে ফুটবল খেলেছি,সকালে ফুটবল খেলেছি,Played football in the morning
638,আই বিয়াইন্না ফুটবল খেলা আইহি,মুই বিয়ানে ফুটবল খেলাইছি,মুই বেইন্ন্যা কালে ফুটবল খেলেছি,আমি সকালে ফুটবল খেলেছি,I played football in the morning
639,আই ফুটবল খেলা আইহি,মুই ফুটবল খেলাইছি,মুই কালে ফুটবল খেলেছি,আমি ফুটবল খেলেছি,I played football
640,আই তুয়ার মনের হতা ন বুঝি,মুই তুমার মনের কথা বুঝি না,মুই তোমার মনের কথা বোঝতে পারি না,আমি তোমার মনের কথা বুঝি না,I don’t understand what you feel
641,তুয়ার মনের হতা ন বুঝি,তুমার মনের কথা বুঝি না,তোমার মনের কথা বোঝতে পারি না,তোমার মনের কথা বুঝি না,Don’t understand what you feel
642,মনের হতা ন বুঝি,মনের কথা বুঝি না,মনের কথা বোঝতে পারি না,মনের কথা বুঝি না,Don’t understand the feelings
643,আই মনের হতা ন বুঝি,মুই মনের কথা বুঝি না,মুই মনের কথা বোঝতে পারি না,আমি মনের কথা বুঝি না,I don’t understand the feelings
644,আই হতা ন বুঝি,মুই কথা বুঝি না,মুই কথা বোঝতে পারি না,আমি কথা বুঝি না,I don’t understand
645,আই ন বুঝি,মুই বুঝি না,মুই বোঝতে পারি না,আমি বুঝি না,I don’t understand
646,তুয়ার লাই আর খুব কষ্ট অয়,তুমার লাগি আমার খুব কষ্ট অয়,তোমার লাইগা মোর বেমালা কষ্ট হয়,তোমার জন্য আমার খুব কষ্ট হয়,I feel very bad for you
647,আর খুব কষ্ট অয়,আমার খুব কষ্ট অয়,মোর বেমালা কষ্ট হয়,আমার খুব কষ্ট হয়,Feel very bad
648,আরার স্বপ্ন বহুত দূর,আমরার স্বপ্ন বহুত বড়,মোগো হপন মেলা বড়,আমাদের স্বপ্ন অনেক বড়,Our dream is big
649,আই ওগগা ফুয়া,মুই এখটা ফুয়া,মুই এউক্কা পোলা,আমি একজন ছেলে,I am a boy
650,আই ওগগা মাইফুয়া,মুই এখটা ফুরি,মুই এউক্কা মাইয়া,আমি একজন মেয়ে,I am a girl
651,অনর লাই ফরিচয় ওই বহুত বালা লাইগগে,আফনার লগে ফরিচিতো অইয়া ভালা লাগলো,আমনের লগে পরিচিত হইয়া ভালো লাগছে,আপনার সাথে পরিচিত হয়ে ভালো লাগলো,Nice to meet you
652,ফরিচয় ওই বহুত বালা লাইগগে,ফরিচিতো অইয়া ভালা লাগলো,পরিচিত হইয়া ভালো লাগছে,পরিচিত হয়ে ভালো লাগলো,Nice meeting
653,বালা লাইগগে,ভালা লাগলো,ভালো লাগছে,ভালো লাগলো,Good feeling
654,বহুত দিন ফর অন রে দেহি,বাক্কা সময় পর আফনারে দেখলাম,মেলাদিন পর আমনেরে দেখলাম,অনেক সময় পর আপনাকে দেখছি,Seeing you after a long time
655,বহুত দিন ফর ,বাক্কা সময় পর ,মেলাদিন পর ,অনেক সময় পর ,After a long time
656,অন রে দেহি,আফনারে দেখলাম,আমনেরে দেখলাম,আপনাকে দেখছি,Seeing you
